Airline,Date,Source_Airport,Destination_Airport,Route,Departure_Time,Arrival_Time,Duration,Stops_Number,Price
Lufthansa,6/6/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,597"
Turkish Airlines,6/6/2022,TLV,FCO,IST,4:50,10:00,6h 10m,1 stop,"1,648"
Vueling,6/6/2022,TLV,FCO,BCN,5:10,14:00,9h 50m,1 stop,"1,649"
Lufthansa,6/6/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,663"
Iberia,6/6/2022,TLV,FCO,MAD,5:30,14:00,9h 30m,1 stop,"1,722"
Brussels Airlines,6/6/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,766"
Vueling,6/6/2022,TLV,FCO,BCN,5:10,14:00,9h 50m,1 stop,"1,855"
EL AL,6/6/2022,TLV,NAP,FCO,6:05,14:45,9h 40m,1 stop,"1,919"
Brussels Airlines,6/6/2022,TLV,NAP,FRA,4:50,12:05,8h 15m,1 stop,"2,190"
KLM,6/6/2022,TLV,FCO,AMS,4:45,11:50,8h 05m,1 stop,"2,366"
Lufthansa,6/6/2022,TLV,NAP,FRA,4:50,12:05,8h 15m,1 stop,"2,371"
Vueling,6/6/2022,TLV,FCO,BCN,5:10,14:00,9h 50m,1 stop,"2,318"
Lufthansa,6/6/2022,TLV,NAP,"FRA, MUC",8:00,16:45,9h 45m,2 stops,"3,306"
Arkia,6/6/2022,TLV,FCO,,7:25,10:05,3h 40m,nonstop,530
EL AL,6/6/2022,TLV,FCO,,6:05,8:45,3h 40m,nonstop,"1,505"
ITA Airways,6/6/2022,TLV,FCO,,5:15,8:00,3h 45m,nonstop,705
ITA Airways,6/6/2022,TLV,FCO,,15:15,18:00,3h 45m,nonstop,"1,052"
Wizz Air,6/6/2022,TLV,FCO,,11:05,13:55,3h 50m,nonstop,350
Aegean Airlines,6/6/2022,TLV,NAP,ATH,5:10,8:55,4h 45m,1 stop,697
Wizz Air,6/6/2022,TLV,NAP,SOF,9:40,14:05,5h 25m,1 stop,303
Aegean Airlines,6/6/2022,TLV,FCO,ATH,5:10,9:35,5h 25m,1 stop,610
Austrian Airlines,6/6/2022,TLV,FCO,VIE,15:35,20:45,6h 10m,1 stop,"1,325"
Turkish Airlines,6/6/2022,TLV,FCO,IST,4:50,10:00,6h 10m,1 stop,"1,648"
ITA Airways,6/6/2022,TLV,VCE,FCO,5:15,10:30,6h 15m,1 stop,723
Lufthansa,6/6/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,508"
Lufthansa,6/6/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,663"
Brussels Airlines,6/6/2022,TLV,NAP,MUC,17:10,22:35,6h 25m,1 stop,"1,766"
Lufthansa,6/6/2022,TLV,VCE,MUC,17:10,22:55,6h 45m,1 stop,"1,365"
Austrian Airlines,6/6/2022,TLV,VCE,VIE,15:35,21:35,7h 00m,1 stop,"1,389"
LOT,6/6/2022,TLV,VCE,WAW,5:05,11:20,7h 15m,1 stop,599
Lufthansa,6/6/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,401"
Brussels Airlines,6/6/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,479"
Lufthansa,6/6/2022,TLV,NAP,FRA,16:30,22:55,7h 25m,1 stop,"1,597"
